Most Similar Row Index,Question,Attribute name,Answer for item 1 - Park,Answer for item 12 - Farm,Answer for item 18 - Art Gallery,Answer for item 26 - Spa,Answer for item 11 - Countryside,Answer for item 21 – Restaurant,Answer for item 25 – Gym,Answer for item 21 - Restaurant,Answer for item 25 - Gym,Answer for item 2 - Beach,Answer for item 3 - Mountain,Answer for item 4 - Forest,Answer for item 5 - Lake,Answer for item 6 - River,Answer for item 7 - Desert,Answer for item 8 - City,Answer for item 9 - Town,Answer for item 10 - Village,Answer for item 13 - School,Answer for item 14 - College,Answer for item 15 - University,Answer for item 16 - Library,Answer for item 17 - Museum,Answer for item 19 - Theater,Answer for item 20 - Cinema,Answer for item 22 - Café,Answer for item 23 - Bar,Answer for item 24 - Club,Answer for item 27 - Hospital,Answer for item 28 - Clinic,Answer for item 29 - Doctor's Office,Answer for item 30 - Pharmacy,Answer for item 31 - Grocery Store,Answer for item 32 - Market,Answer for item 33 - Shopping Mall,Answer for item 34 - Department Store,Answer for item 35 - Bookstore,Answer for item 36 - Airport,Answer for item 37 - Train Station,Answer for item 38 - Bus Stop,Answer for item 39 - Subway Station,Answer for item 40 - Taxi Stand,Answer for item 41 - Car Rental,Answer for item 42 - Gas Station,Answer for item 43 - Parking Lot,Answer for item 44 - Hotel,Answer for item 45 - Motel,Answer for item 46 - Hostel,Answer for item 47 - Bed and Breakfast,Answer for item 48 - Campground,Answer for item 49 - Cruise Ship,Answer for item 50 - Ferry,Answer for item 51 - Airport Lounge,Answer for item 52 - Waiting Room,Answer for item 53 - Office,Answer for item 54 - Conference Room,Answer for item 55 - Home,Answer for item 56 - Apartment,Answer for item 57 - House,Answer for item 58 - Mansion,Answer for item 59 - Castle,Answer for item 60 - Lighthouse,Answer for item 61 - Island,Answer for item 62 - Cave,Answer for item 63 - Temple,Answer for item 64 - Church,Answer for item 65 - Mosque,Answer for item 66 - Synagogue,Answer for item 67 - Shrine,Answer for item 68 - Cemetery,Answer for item 69 - Graveyard,Answer for item 70 - Amusement Park,Answer for item 71 - Zoo,Answer for item 72 - Aquarium,Answer for item 73 - Botanical Garden,Answer for item 74 - National Park,Answer for item 75 - Historical Site,Answer for item 76 - Landmark,Answer for item 77 - Space Station,Answer for item 78 - Space Shuttle,Answer for item 79 - International Space Station,Answer for item 80 - Mars,Answer for item 81 - Moon,Answer for item 82 - Underwater Cave,Answer for item 83 - Volcano,Answer for item 84 - Waterfall,Answer for item 85 - Hot Spring,Answer for item 86 - Glacier,Answer for item 87 - Tundra,Answer for item 88 - Savannah,Answer for item 89 - Wetland,Answer for item 90 - Marsh,Answer for item 91 - Swamp,Answer for item 92 - Glacier,Answer for item 93 - Cavern,Answer for item 94 - Archipelago,Answer for item 95 - Peninsula,Answer for item 96 - Delta,Answer for item 97 - Oasis,Answer for item 98 - Ruins,Answer for item 99 - Bridge,Answer for item 100 - Dam,Answer for item 1 -Park,Answer for item 1 -Beach,Answer for item 1 -Mountain,Answer for item 1 -Forest,Answer for item 1 -Lake,Answer for item 1 -River,Answer for item 1 -Desert,Answer for item 1 -City,Answer for item 1 -Town,Answer for item 1 -Village,Answer for item 1 -Countryside,Answer for item 1 -Farm,Answer for item 1 -School,Answer for item 1 -College,Answer for item 1 -University,Answer for item 1 -Library,Answer for item 1 -Museum,Answer for item 1 -Art Gallery,Answer for item 1 -Theater,Answer for item 1 -Cinema,Answer for item 1 -Restaurant,Answer for item 1 -Café,Answer for item 1 -Bar,Answer for item 1 -Club,Answer for item 1 -Gym,Answer for item 1 -Spa,Answer for item 1 -Hospital,Answer for item 1 -Clinic,Answer for item 1 -Doctor's Office,Answer for item 1 -Pharmacy,Answer for item 1 -Grocery Store,Answer for item 1 -Market,Answer for item 1 -Shopping Mall,Answer for item 1 -Department Store,Answer for item 1 -Bookstore,Answer for item 1 -Airport,Answer for item 1 -Train Station,Answer for item 1 -Bus Stop,Answer for item 1 -Subway Station,Answer for item 1 -Taxi Stand,Answer for item 1 -Car Rental,Answer for item 1 -Gas Station,Answer for item 1 -Parking Lot,Answer for item 1 -Hotel,Answer for item 1 -Motel,Answer for item 1 -Hostel,Answer for item 1 -Bed and Breakfast,Answer for item 1 -Campground,Answer for item 1 -Cruise Ship,Answer for item 1 -Ferry,Answer for item 1 -Airport Lounge,Answer for item 1 -Waiting Room,Answer for item 1 -Office,Answer for item 1 -Conference Room,Answer for item 1 -Home,Answer for item 1 -Apartment,Answer for item 1 -House,Answer for item 1-Mansion,Answer for item 1 -Castle,Answer for item 1 -Lighthouse,Answer for item 1 -Island,Answer for item 1 -Cave,Answer for item 1 -Temple,Answer for item 1 -Church,Answer for item 1 -Mosque,Answer for item 1 -Synagogue,Answer for item 1 -Shrine,Answer for item 1 -Cemetery,Answer for item 1 -Graveyard,Answer for item 1 -Amusement Park,Answer for item 1 -Zoo,Answer for item 1 -Aquarium,Answer for item 1 -Botanical Garden,Answer for item 1 -National Park,Answer for item 1 -Historical Site,Answer for item 1 -Landmark,Answer for item 1 -Space Station,Answer for item 1 -Space Shuttle,Answer for item 1 -International Space Station,Answer for item 1 -Mars,Answer for item 1 -Moon,Answer for item 1 -Underwater Cave,Answer for item 1 -Volcano,Answer for item 1 -Waterfall,Answer for item 1 -Hot Spring,Answer for item 1 -Glacier,Answer for item 1 -Tundra,Answer for item 1 -\Savannah,Answer for item 1 -Wetland,Answer for item 1 -Marsh,Answer for item 1 -Swamp,Answer for item 1 -Glacier.1,Answer for item 1 -Cavern,Answer for item 1 -Archipelago,Answer for item 1 -Peninsula,Answer for item 1 -Delta,Answer for item 1 -Oasis,Answer for item 1 -Ruins,Answer for item 1 -Bridge,Answer for item 1 -Dam
78,Is there an admission fee?,Admission_Fee,Free or small fee,,,,Free,Cost of meal,Membership or fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,What kind of facilities are available?,Facilities,"Benches, Playgrounds",,,,None,"Tables, Restrooms","Gym equipment, Showers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Is this location family-friendly?,Family_Friendly,Yes,,,,Yes,Varies,Varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Can pets be brought to this location?,Pets_Allowed,"Yes, in some areas",,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,What type of clothing is most appropriate here?,Clothing,Casual,,,,Casual,Casual to Formal,Sportswear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Are there guided tours or self-guided options?,Tours,Self-guided,,,,Self-guided,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,How long do people typically spend here?,Visit_Duration,1-3 hours,,,,Varies,1-2 hours,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Is there Wi-Fi available?,WiFi_Availability,In some areas,,,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,What is the parking situation like?,Parking,Available,,,,Limited,Varies,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Is the location suitable for all seasons?,All_Season,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Are there any age restrictions?,Age_Restrictions,No,,,,No,No,"Yes, usually 16+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Is food or drink available on-site?,Food_Drink,Snack stands,,,,No,Yes,Vending machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,What is the peak time for visitors?,Peak_Time,Weekends,,,,Daytime,Evenings,Evenings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Is photography allowed?,Photography,Yes,,,,Yes,"Yes, but restricted",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Are there any water bodies nearby?,Water_Bodies,Lakes or ponds,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,What is the general atmosphere like?,Atmosphere,Relaxing,,,,Peaceful,Lively,Energetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Is there any special equipment needed?,Special_Equipment,No,,,,No,No,Workout gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Are there restrooms available?,Restrooms,Yes,,,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Is the location accessible for people with disabilities?,Disability_Access,Yes,,,,Limited,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Are there any nearby shopping areas?,Nearby_Shopping,No,,,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,What languages are spoken by staff or guides?,Languages_Spoken,Local language,,,,Local language,Local and foreign languages,Local language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Is X antropic or natural?,antropic,natural,,,,natural,,,antropic,antropic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Is X a transit place?,transit,yes,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Can you buy things in X?,buy,no,,,,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Can X a place for leisure activities?,for leisure,yes,,,,yes,,, no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Does X contain animals?,contains animals,yes,,,,yes,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Is X indoors or outdoors?,indoors/outdoors,outdoors,,,,outdoors,,,indoors,indoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Is X a religious place?,religious,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Is X a shop?,shop,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Is X part of a building?,part of building,no,,,,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Can you sleep in X?,sleep,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Is X a planet?,planet,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Is X a natural environment?,environment,yes,,,,yes,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Does X have a specific weather?,weather,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Is X a private of public place?,public,public,,,,public,,,private,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Can you catch a mean from transport from X?,catch transport,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Can you study in X?,study,yes,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Is X a geographical site?,geographical,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Is X always near the water?,water,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Is X in space?,space,no,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,What kind of mean of transport can you catch from X?,transport kind,none,,,,none,,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,What is the typical activity in X?,activity,have a walk,,,,farming,,,eating,exercising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
